disease_a,disease_b,mean_profile_difference,similar_symptoms_within_10_percent
Marfan_Syndrome,Osteoarthritis,0.06157390469221622,138
Coronary_Artery_Disease,Migraine,0.06238722285124977,135
COPD,Osteopetrosis,0.06263530855931257,142
COPD,Hypertension,0.06268341555903688,130
COVID19,Type2_Diabetes,0.06286812965226148,139
COPD,COVID19,0.06321747274205056,134
COPD,Irritable_Bowel_Syndrome,0.06365682478940136,126
Irritable_Bowel_Syndrome,Osteopetrosis,0.06381447146314907,132
Flu,Irritable_Bowel_Syndrome,0.06393170614054317,125
Common_Cold,Pneumonia,0.0639613183373838,131
Asthma,Cystic_Fibrosis,0.06411093992286523,131
Amyotrophic_Lateral_Sclerosis,Osteopetrosis,0.06430284857571214,146
Common_Cold,Hypertension,0.06443097516208501,135
Pneumonia,Type2_Diabetes,0.0647533449646357,121
COVID19,Gastritis,0.06539313306157678,130
Amyotrophic_Lateral_Sclerosis,COPD,0.06541848008034817,129
Amyotrophic_Lateral_Sclerosis,Obesity,0.06570904156988104,140
Chronic_Kidney_Disease,Common_Cold,0.0657121911745265,118
Chronic_Kidney_Disease,Hypertension,0.0659240770268642,125
COPD,Osteoarthritis,0.06592681011085559,126
Amyotrophic_Lateral_Sclerosis,Hyperthyroidism,0.06598759985411592,132
COVID19,Flu,0.06603986615152256,137
Asthma,Hyperthyroidism,0.06612251714175721,119
Depression,Ehlers_Danlos_Syndrome,0.0662410384280788,129
Gastritis,Hypertension,0.06626786418968254,139
Hypothyroidism,Migraine,0.06645513413281438,128
Hypothyroidism,Polycystic_Ovary_Syndrome,0.06645702918522392,120
Chronic_Kidney_Disease,Irritable_Bowel_Syndrome,0.06648281519000582,125
Hypertension,Osteoarthritis,0.06669346784651237,133
COPD,Hypothyroidism,0.06681454288979052,126
Cystic_Fibrosis,Type2_Diabetes,0.06746816042348705,126
COPD,Coronary_Artery_Disease,0.06805256497122623,126
COPD,Ehlers_Danlos_Syndrome,0.06811879254547483,138
Cystic_Fibrosis,Marfan_Syndrome,0.0681426002726139,126
Depression,Obesity,0.06814321946413805,122
Common_Cold,Hypothyroidism,0.06829948864950516,132
Hypertension,Hyperthyroidism,0.06854897863355243,128
COVID19,Polycystic_Ovary_Syndrome,0.06865988224732733,121
Amyotrophic_Lateral_Sclerosis,Flu,0.06874377561509605,126
Flu,Osteopetrosis,0.06902501130387187,128
COPD,Chronic_Kidney_Disease,0.06943518437250608,122
Cystic_Fibrosis,Hypertension,0.0694812539011641,127
Ehlers_Danlos_Syndrome,Irritable_Bowel_Syndrome,0.06958406740883133,127
Chronic_Kidney_Disease,Hyperthyroidism,0.06989257296252933,124
COPD,Obesity,0.06990259537299406,119
Marfan_Syndrome,Polycystic_Ovary_Syndrome,0.06994997669789584,122
COVID19,Hypothyroidism,0.06999314514961513,128
Depression,Hypertension,0.07008119001712369,131
Gastritis,Hypothyroidism,0.07008213722594196,124
Obesity,Osteoarthritis,0.07053386755856586,117
Asthma,Pneumonia,0.07095634898584198,112
Hyperthyroidism,Obesity,0.07100180990804227,126
Chronic_Kidney_Disease,Obesity,0.07125238642213283,110
Peptic_Ulcer_Disease,Pneumonia,0.07128178560078217,124
Common_Cold,Cystic_Fibrosis,0.07133449233758267,125
COVID19,Hyperthyroidism,0.07143218469475385,120
Asthma,COVID19,0.0714339031763617,123
Peptic_Ulcer_Disease,Type2_Diabetes,0.07166371543476995,128
Coronary_Artery_Disease,Hypertension,0.07203225679140722,125
Hyperthyroidism,Osteopetrosis,0.0723553153171251,121
Amyotrophic_Lateral_Sclerosis,Ehlers_Danlos_Syndrome,0.07238505747126436,133
Osteoarthritis,Peptic_Ulcer_Disease,0.07248632346988881,128
Ehlers_Danlos_Syndrome,Hypertension,0.07250861894492948,127
Asthma,Chronic_Kidney_Disease,0.07274346494378213,125
Amyotrophic_Lateral_Sclerosis,Migraine,0.07275886681926702,128
COPD,Spinal_Muscular_Atrophy,0.07284687895914978,120
Common_Cold,Migraine,0.07296118271839017,138
Hypertension,Migraine,0.07299668540972802,118
COVID19,Irritable_Bowel_Syndrome,0.07300795478103518,116
Irritable_Bowel_Syndrome,Type2_Diabetes,0.07302353342817365,112
COPD,Flu,0.07332308567478042,116
Flu,Hypertension,0.07341995999751288,125
Amyotrophic_Lateral_Sclerosis,Osteoarthritis,0.07350968277587286,123
Hypothyroidism,Marfan_Syndrome,0.07375213984992258,126
Gastritis,Marfan_Syndrome,0.07381724782866507,128
Osteoarthritis,Pneumonia,0.07418931615733548,118
Chronic_Kidney_Disease,Depression,0.07423392447336903,120
Obesity,Pneumonia,0.07426424792016624,123
Cystic_Fibrosis,Ehlers_Danlos_Syndrome,0.07450822353051118,127
Cystic_Fibrosis,Gastritis,0.07453198522249738,124
Gastritis,Pneumonia,0.07465601435867528,114
Irritable_Bowel_Syndrome,Pneumonia,0.07466191218572557,126
Ehlers_Danlos_Syndrome,Osteoarthritis,0.07473780308094857,125
COVID19,Coronary_Artery_Disease,0.07481028276414207,118
Hypertension,Irritable_Bowel_Syndrome,0.07494403649729629,115
Flu,Marfan_Syndrome,0.07510462398661698,126
Depression,Hyperthyroidism,0.07512349576315314,118
Marfan_Syndrome,Peptic_Ulcer_Disease,0.0752865206775757,133
COVID19,Depression,0.0753840862814573,125
Hypertension,Peptic_Ulcer_Disease,0.07578348776434576,137
Hyperthyroidism,Osteoarthritis,0.07582280976740209,122
COPD,Marfan_Syndrome,0.07595067129977026,127
Peptic_Ulcer_Disease,Polycystic_Ovary_Syndrome,0.07609086867092849,118
Amyotrophic_Lateral_Sclerosis,Cystic_Fibrosis,0.07610176619007569,117
Migraine,Polycystic_Ovary_Syndrome,0.07610866514174496,118
Hyperthyroidism,Pneumonia,0.07615634299949284,110
COPD,Gastritis,0.0762275126062835,121
Chronic_Kidney_Disease,Peptic_Ulcer_Disease,0.07627595281343474,120
Obesity,Osteopetrosis,0.07628318465242102,130
Polycystic_Ovary_Syndrome,Type2_Diabetes,0.07645246071916732,118
Coronary_Artery_Disease,Spinal_Muscular_Atrophy,0.07651480818223018,122
Chronic_Kidney_Disease,Ehlers_Danlos_Syndrome,0.0771338014983429,117
Ehlers_Danlos_Syndrome,Obesity,0.07728923299927354,120
COPD,Pneumonia,0.07732109646791038,120
Marfan_Syndrome,Type2_Diabetes,0.07738842730861567,125
Marfan_Syndrome,Pneumonia,0.07752151635722951,110
Asthma,Peptic_Ulcer_Disease,0.07761288431688111,109
Hypertension,Type2_Diabetes,0.07778485219254726,121
Asthma,Osteoarthritis,0.07799990212618464,113
Cystic_Fibrosis,Depression,0.07807151570230583,118
Amyotrophic_Lateral_Sclerosis,Hypertension,0.07821242384272345,112
Gastritis,Irritable_Bowel_Syndrome,0.07824653499148398,124
Hypothyroidism,Spinal_Muscular_Atrophy,0.0783494170918106,122
Depression,Marfan_Syndrome,0.07866029768695856,124
Amyotrophic_Lateral_Sclerosis,Spinal_Muscular_Atrophy,0.07886409736308317,122
Hyperthyroidism,Hypothyroidism,0.07891121462076968,116
Common_Cold,Marfan_Syndrome,0.07912677428480876,118
Asthma,Stroke,0.0792401419036901,115
Chronic_Kidney_Disease,Flu,0.07926245060331183,119
Asthma,Obesity,0.07930689152666336,123
Hyperthyroidism,Marfan_Syndrome,0.0794527141956787,116
Osteoarthritis,Type2_Diabetes,0.07961705163763633,116
Chronic_Kidney_Disease,Coronary_Artery_Disease,0.07980957293136315,116
Ehlers_Danlos_Syndrome,Osteopetrosis,0.079907962685324,126
Amyotrophic_Lateral_Sclerosis,Hypothyroidism,0.07994058229352348,118
Ehlers_Danlos_Syndrome,Hyperthyroidism,0.08022507484045267,122
Depression,Hypothyroidism,0.0802701105566818,127
Amyotrophic_Lateral_Sclerosis,Asthma,0.08056394437202624,123
Flu,Hyperthyroidism,0.08063178049847908,115
Cystic_Fibrosis,Peptic_Ulcer_Disease,0.08083390733958172,128
Irritable_Bowel_Syndrome,Marfan_Syndrome,0.0810813155564177,114
Osteoarthritis,Osteopetrosis,0.08117640288673673,116
Chronic_Kidney_Disease,Type2_Diabetes,0.08120957289120175,111
Gastritis,Polycystic_Ovary_Syndrome,0.08123272335153361,121
Coronary_Artery_Disease,Ehlers_Danlos_Syndrome,0.0813693162457094,123
Common_Cold,Type2_Diabetes,0.08145915279064614,115
COPD,Migraine,0.08151932822387377,105
Pneumonia,Polycystic_Ovary_Syndrome,0.0815795139978478,120
Flu,Peptic_Ulcer_Disease,0.081654855037044,133
Ehlers_Danlos_Syndrome,Marfan_Syndrome,0.08188829435856784,125
Gastritis,Migraine,0.08189093798595289,113
Coronary_Artery_Disease,Hyperthyroidism,0.08189630087148775,108
Common_Cold,Gastritis,0.08242405827130493,119
COPD,Common_Cold,0.08269620053026443,108
Ehlers_Danlos_Syndrome,Flu,0.08282353451613333,113
Depression,Spinal_Muscular_Atrophy,0.08296548053621008,120
Flu,Hypothyroidism,0.08300195986338568,128
COPD,Peptic_Ulcer_Disease,0.08304077410522732,131
Hyperthyroidism,Type2_Diabetes,0.08306655779773037,104
COPD,Polycystic_Ovary_Syndrome,0.08309530554257705,102
Hyperthyroidism,Spinal_Muscular_Atrophy,0.08309635350853137,115
Obesity,Type2_Diabetes,0.08318312285175328,111
Chronic_Kidney_Disease,Hypothyroidism,0.08326476115742143,104
Migraine,Pneumonia,0.08350797334280977,125
Asthma,Hypertension,0.08382929531052752,107
Amyotrophic_Lateral_Sclerosis,Common_Cold,0.08434622581374787,118
Common_Cold,Irritable_Bowel_Syndrome,0.08444336917871227,110
Cystic_Fibrosis,Flu,0.08446640500887768,110
Gastritis,Osteoarthritis,0.08449675525711185,120
Asthma,Marfan_Syndrome,0.08451326918901635,117
Hypertension,Spinal_Muscular_Atrophy,0.08454817557113083,111
Hypertension,Obesity,0.0845626966509479,110
COVID19,Ehlers_Danlos_Syndrome,0.08470003090764833,116
Common_Cold,Ehlers_Danlos_Syndrome,0.08517236238767915,114
Hyperthyroidism,Peptic_Ulcer_Disease,0.08519490856624402,132
Cystic_Fibrosis,Osteopetrosis,0.08539175534184126,116
Depression,Migraine,0.08543681627518855,121
Hyperthyroidism,Polycystic_Ovary_Syndrome,0.08592408573790707,109
Coronary_Artery_Disease,Depression,0.08601939993627773,118
Coronary_Artery_Disease,Polycystic_Ovary_Syndrome,0.08607392121678904,103
Amyotrophic_Lateral_Sclerosis,Chronic_Kidney_Disease,0.08612729085086937,107
Polycystic_Ovary_Syndrome,Spinal_Muscular_Atrophy,0.08621562683428809,113
Chronic_Kidney_Disease,Polycystic_Ovary_Syndrome,0.08629139972417112,107
COVID19,Common_Cold,0.08635122113648638,104
Coronary_Artery_Disease,Cystic_Fibrosis,0.08640507070415905,111
Hypertension,Pneumonia,0.08643192021708887,106
Cystic_Fibrosis,Migraine,0.0864975245964525,113
Common_Cold,Hyperthyroidism,0.08653160788049105,109
Osteoarthritis,Polycystic_Ovary_Syndrome,0.08667497697144459,113
COVID19,Spinal_Muscular_Atrophy,0.08670958927526776,114
Hypothyroidism,Osteoarthritis,0.08708360035167041,108
Coronary_Artery_Disease,Osteoarthritis,0.08739043029408528,111
Ehlers_Danlos_Syndrome,Migraine,0.08739498469894245,117
Coronary_Artery_Disease,Marfan_Syndrome,0.08756081791552424,110
Pneumonia,Spinal_Muscular_Atrophy,0.08756608640896572,124
Amyotrophic_Lateral_Sclerosis,COVID19,0.0875682276913683,107
Migraine,Type2_Diabetes,0.08767295802424607,104
Hypertension,Osteopetrosis,0.08772913179111719,109
Cystic_Fibrosis,Polycystic_Ovary_Syndrome,0.08819443802622945,103
Common_Cold,Spinal_Muscular_Atrophy,0.08821261525398513,116
Irritable_Bowel_Syndrome,Spinal_Muscular_Atrophy,0.08823776695076521,106
Flu,Obesity,0.08834836644019509,102
Osteopetrosis,Spinal_Muscular_Atrophy,0.08840432724814064,125
Coronary_Artery_Disease,Osteopetrosis,0.08854358070422488,124
Common_Cold,Coronary_Artery_Disease,0.0886127373140891,117
Cystic_Fibrosis,Spinal_Muscular_Atrophy,0.0887898052408516,110
COVID19,Obesity,0.08889005383056485,100
Hypothyroidism,Peptic_Ulcer_Disease,0.08890563539223802,133
Gastritis,Spinal_Muscular_Atrophy,0.08894240269513046,108
Amyotrophic_Lateral_Sclerosis,Marfan_Syndrome,0.08901307966706301,109
Hypothyroidism,Osteopetrosis,0.08907526331902381,123
Migraine,Osteopetrosis,0.08913450127184802,123
Coronary_Artery_Disease,Irritable_Bowel_Syndrome,0.08920322513315891,106
Common_Cold,Depression,0.08923498611451118,113
Cystic_Fibrosis,Hypothyroidism,0.08928420320222626,99
Ehlers_Danlos_Syndrome,Gastritis,0.08939839350241377,114
Chronic_Kidney_Disease,Migraine,0.08951209731478804,106
Hyperthyroidism,Migraine,0.08960469901026878,95
Asthma,COPD,0.0896599863922082,108
Common_Cold,Osteoarthritis,0.08966839363816499,105
COVID19,Migraine,0.0899701977355422,101
Ehlers_Danlos_Syndrome,Hypothyroidism,0.0900745965401138,109
Depression,Pneumonia,0.0901312256378986,112
Depression,Peptic_Ulcer_Disease,0.09032656844277617,134
Asthma,Common_Cold,0.0904355456195392,106
Irritable_Bowel_Syndrome,Migraine,0.09067345614505376,102
Hypothyroidism,Pneumonia,0.09072631412526866,111
Coronary_Artery_Disease,Pneumonia,0.09073579610703389,111
Amyotrophic_Lateral_Sclerosis,Coronary_Artery_Disease,0.0911848305782033,105
Chronic_Kidney_Disease,Spinal_Muscular_Atrophy,0.09123929688176025,107
Asthma,Gastritis,0.09131632121594718,103
Amyotrophic_Lateral_Sclerosis,Pneumonia,0.09144334039664288,111
Flu,Gastritis,0.09145534775918346,124
Flu,Spinal_Muscular_Atrophy,0.0915329125763005,114
Depression,Gastritis,0.0915795359331885,119
Marfan_Syndrome,Migraine,0.09170662029245291,105
Ehlers_Danlos_Syndrome,Spinal_Muscular_Atrophy,0.09179907595221996,111
COPD,Type2_Diabetes,0.0919710289837541,110
Amyotrophic_Lateral_Sclerosis,Peptic_Ulcer_Disease,0.09243231315435872,126
Migraine,Obesity,0.09266068263616893,124
Marfan_Syndrome,Obesity,0.09276076119060306,104
Irritable_Bowel_Syndrome,Peptic_Ulcer_Disease,0.09282839328407677,109
Gastritis,Gaucher_Disease,0.09309929778960667,108
Coronary_Artery_Disease,Flu,0.09321469685316518,115
Gastritis,Type2_Diabetes,0.09329374686252362,111
Gastritis,Peptic_Ulcer_Disease,0.09342298849632068,119
Flu,Polycystic_Ovary_Syndrome,0.09348897761429299,115
Amyotrophic_Lateral_Sclerosis,Type2_Diabetes,0.09357094119479678,103
Asthma,Flu,0.09450727903147763,98
Coronary_Artery_Disease,Gaucher_Disease,0.09466136418414074,108
Peptic_Ulcer_Disease,Spinal_Muscular_Atrophy,0.09488026056946722,122
Hypothyroidism,Type2_Diabetes,0.09521276662242743,107
Ehlers_Danlos_Syndrome,Pneumonia,0.09528051281869718,102
Migraine,Niemann_Pick_Disease,0.0954402731335464,112
Hypothyroidism,Irritable_Bowel_Syndrome,0.0955005974109734,95
Common_Cold,Polycystic_Ovary_Syndrome,0.09573738878069271,104
Asthma,Depression,0.0957409296623092,103
Osteoarthritis,Spinal_Muscular_Atrophy,0.09598695368682506,103
Generalized_Anxiety_Disorder,Pneumonia,0.0962942920800091,103
Asthma,Hypothyroidism,0.09659958937698906,101
Chronic_Kidney_Disease,Osteopetrosis,0.09668310747490265,109
Flu,Migraine,0.09677253184384041,108
Marfan_Syndrome,Spinal_Muscular_Atrophy,0.09712993401879183,104
Migraine,Peptic_Ulcer_Disease,0.09721232015314746,113
Obesity,Spinal_Muscular_Atrophy,0.0973736732954861,113
COVID19,Osteopetrosis,0.0976203364132002,108
Asthma,Ehlers_Danlos_Syndrome,0.0977708125861934,103
Migraine,Osteoarthritis,0.09786479040632028,98
Spinal_Muscular_Atrophy,Type2_Diabetes,0.09794784293850628,104
Amyotrophic_Lateral_Sclerosis,Gastritis,0.09845124605379549,106
Hypothyroidism,Obesity,0.09867803358488819,100
Flu,Pneumonia,0.09907257225459903,104
Asthma,Generalized_Anxiety_Disorder,0.09979392417210654,115
Asthma,Polycystic_Ovary_Syndrome,0.09992011878463289,87
Asthma,Osteopetrosis,0.10015604430703175,100
Asthma,Spinal_Muscular_Atrophy,0.10047022881664425,102
Asthma,Migraine,0.10052960400334465,92
Irritable_Bowel_Syndrome,Stroke,0.10119893557460437,96
Gaucher_Disease,Spinal_Muscular_Atrophy,0.1017579445571332,110
Irritable_Bowel_Syndrome,Polycystic_Ovary_Syndrome,0.10199880931067896,95
Stroke,Type2_Diabetes,0.10212664383832135,97
Depression,Polycystic_Ovary_Syndrome,0.10216225867067508,101
Ehlers_Danlos_Syndrome,Type2_Diabetes,0.1023470358254734,102
Marfan_Syndrome,Osteopetrosis,0.1025564803804994,98
Coronary_Artery_Disease,Niemann_Pick_Disease,0.10284186230405094,113
Ehlers_Danlos_Syndrome,Peptic_Ulcer_Disease,0.10285548646657132,118
Stroke,Systemic_Lupus_Erythematosus,0.10314894636015326,107
Flu,Type2_Diabetes,0.10318307012204964,103
Chronic_Kidney_Disease,Stroke,0.1033109787610701,112
Coronary_Artery_Disease,Peptic_Ulcer_Disease,0.10373283990180569,107
Amyotrophic_Lateral_Sclerosis,Polycystic_Ovary_Syndrome,0.10382910193255021,95
Niemann_Pick_Disease,Type2_Diabetes,0.1038729673965406,91
Common_Cold,Peptic_Ulcer_Disease,0.10400543523631668,112
COPD,Gaucher_Disease,0.10421362943123907,99
Gaucher_Disease,Migraine,0.10443894754977971,109
Osteopetrosis,Pneumonia,0.10466565192684728,112
Coronary_Artery_Disease,Obesity,0.10467932239618881,101
Niemann_Pick_Disease,Spinal_Muscular_Atrophy,0.10518690234714576,99
Gaucher_Disease,Hyperthyroidism,0.10537877985730312,86
Gastritis,Osteopetrosis,0.10556922509180977,98
Cystic_Fibrosis,Stroke,0.10557716568544995,106
Coronary_Artery_Disease,Type2_Diabetes,0.10626794383432411,96
Hyperthyroidism,Stroke,0.1063941494231483,91
Gastritis,Obesity,0.10665615847238316,92
Pneumonia,Stroke,0.1068240653949169,103
Common_Cold,Osteopetrosis,0.10694496222371817,108
Hyperthyroidism,Niemann_Pick_Disease,0.10726443993305955,99
Depression,Type2_Diabetes,0.10748551799612299,97
Ehlers_Danlos_Syndrome,Polycystic_Ovary_Syndrome,0.10767178224074776,94
Osteopetrosis,Polycystic_Ovary_Syndrome,0.10775230516609825,101
Gastritis,Niemann_Pick_Disease,0.10791912777531343,101
Asthma,Coronary_Artery_Disease,0.10835994490741024,88
Chronic_Kidney_Disease,Generalized_Anxiety_Disorder,0.10857383034372742,99
Cystic_Fibrosis,Generalized_Anxiety_Disorder,0.108788529355348,105
Osteopetrosis,Peptic_Ulcer_Disease,0.10957252775737603,121
Gaucher_Disease,Hypothyroidism,0.11017545297464164,105
Obesity,Stroke,0.1102114454758486,87
Common_Cold,Flu,0.11098629324811185,88
Generalized_Anxiety_Disorder,Stroke,0.11129196914700544,97
Obesity,Peptic_Ulcer_Disease,0.11143568438106669,108
Generalized_Anxiety_Disorder,Obesity,0.11146766788313604,103
Asthma,Niemann_Pick_Disease,0.11228955508493364,91
Generalized_Anxiety_Disorder,Type2_Diabetes,0.11267012137434965,110
Irritable_Bowel_Syndrome,Niemann_Pick_Disease,0.11352597003061143,94
Asthma,Inflammatory_Bowel_Disease,0.1139817506133057,100
Generalized_Anxiety_Disorder,Hyperthyroidism,0.11413759947977999,111
Gastritis,Stroke,0.11518713991289167,97
COPD,Niemann_Pick_Disease,0.1153382913259043,98
Generalized_Anxiety_Disorder,Peptic_Ulcer_Disease,0.11597307727963058,109
Cystic_Fibrosis,Niemann_Pick_Disease,0.11649945932956866,93
Obesity,Polycystic_Ovary_Syndrome,0.11701181248191615,87
Common_Cold,Niemann_Pick_Disease,0.11730938134306218,92
Osteopetrosis,Type2_Diabetes,0.11765845937500806,88
Common_Cold,Stroke,0.11810621131741822,97
Generalized_Anxiety_Disorder,Irritable_Bowel_Syndrome,0.11882884627904262,97
Niemann_Pick_Disease,Pneumonia,0.11896239400926147,86
Hypothyroidism,Niemann_Pick_Disease,0.11924665372941234,100
COVID19,Generalized_Anxiety_Disorder,0.12136189652345494,99
Niemann_Pick_Disease,Polycystic_Ovary_Syndrome,0.1218927624100038,97
Ehlers_Danlos_Syndrome,Niemann_Pick_Disease,0.12195539135194307,101
Osteoarthritis,Stroke,0.1225954799335792,109
Fanconi_Anemia,Hypothyroidism,0.1226821972258078,74
Fanconi_Anemia,Marfan_Syndrome,0.1229686880697582,80
Gaucher_Disease,Niemann_Pick_Disease,0.12301587301587302,99
Niemann_Pick_Disease,Obesity,0.12308611207121331,94
Inflammatory_Bowel_Disease,Stroke,0.12312705254515599,101
Inflammatory_Bowel_Disease,Type2_Diabetes,0.12324281918703071,88
Fanconi_Anemia,Hypertension,0.12334687240472055,74
Hypertension,Niemann_Pick_Disease,0.1236173048873256,94
Gaucher_Disease,Osteopetrosis,0.12389638514076297,94
Amyotrophic_Lateral_Sclerosis,Niemann_Pick_Disease,0.12397372742200327,87
Gaucher_Disease,Pneumonia,0.12430200398542962,90
Dengue,Systemic_Lupus_Erythematosus,0.12443005495743832,93
COVID19,Fanconi_Anemia,0.12444663059517953,88
Generalized_Anxiety_Disorder,Tuberculosis,0.12453973327554604,92
Gaucher_Disease,Polycystic_Ovary_Syndrome,0.12528840890909856,91
COVID19,Stroke,0.1262143384161338,96
Cirrhosis,Ulcerative_Colitis,0.12661923006750592,93
COVID19,Gaucher_Disease,0.12669308893675807,85
Generalized_Anxiety_Disorder,Osteoarthritis,0.12682726783640863,96
Depression,Epilepsy,0.12698050458693871,114
Fanconi_Anemia,Gastritis,0.12710085941006027,86
Amyotrophic_Lateral_Sclerosis,Stroke,0.12767959770114942,85
Chronic_Kidney_Disease,Fanconi_Anemia,0.12780478877324808,75
Fanconi_Anemia,Migraine,0.12783972039676092,81
Chronic_Kidney_Disease,Niemann_Pick_Disease,0.12809032810137805,83
Amyotrophic_Lateral_Sclerosis,Gaucher_Disease,0.12831417624521074,91
Common_Cold,Fanconi_Anemia,0.12883741492402276,63
Chronic_Kidney_Disease,Gaucher_Disease,0.1289113187581388,86
Niemann_Pick_Disease,Stroke,0.12895114942528735,87
Depression,Gaucher_Disease,0.12911472958049194,93
Tuberculosis,Type2_Diabetes,0.12948659169744214,108
Coronary_Artery_Disease,Fanconi_Anemia,0.1295035779290398,80
Gastritis,Generalized_Anxiety_Disorder,0.13003376502486264,92
Epilepsy,Flu,0.13031672935642383,113
Gaucher_Disease,Hypertension,0.1306398258065867,86
Hyperthyroidism,Systemic_Lupus_Erythematosus,0.13064323449739748,102
Asthma,Dengue,0.13096806016007784,94
Common_Cold,Crohn_Disease,0.13124832932371022,73
Common_Cold,Generalized_Anxiety_Disorder,0.13149659046759457,91
Hypertension,Stroke,0.13150619115912596,88
Niemann_Pick_Disease,Osteopetrosis,0.13155922038980508,92
Marfan_Syndrome,Stroke,0.13176897542608004,100
COVID19,Niemann_Pick_Disease,0.13187415848677447,84
Fanconi_Anemia,Polycystic_Ovary_Syndrome,0.1325028419856006,83
Cystic_Fibrosis,Gaucher_Disease,0.13291982057751614,79
Fanconi_Anemia,Osteoarthritis,0.132975081408639,79
Ehlers_Danlos_Syndrome,Gaucher_Disease,0.13386015325670497,94
Dengue,Stroke,0.13421230561189992,89
Crohn_Disease,Hypothyroidism,0.1352401636377296,73
Gaucher_Disease,Marfan_Syndrome,0.13575108997225527,87
Pneumonia,Systemic_Lupus_Erythematosus,0.13584877436532003,104
Cirrhosis,Obesity,0.13597190326268163,82
COPD,Stroke,0.13603566845218168,76
Gaucher_Disease,Irritable_Bowel_Syndrome,0.13626532535202715,74
Depression,Stroke,0.13677521765291417,85
Asthma,Systemic_Lupus_Erythematosus,0.13686773599251031,80
Ehlers_Danlos_Syndrome,Stroke,0.1369133141762452,86
Epilepsy,Hyperthyroidism,0.13731897328010995,103
Common_Cold,Gaucher_Disease,0.1373570072447378,89
Cystic_Fibrosis,Fanconi_Anemia,0.13768573030557893,74
Ehlers_Danlos_Syndrome,Fanconi_Anemia,0.13769157088122608,86
Marfan_Syndrome,Niemann_Pick_Disease,0.13790272351508975,75
Depression,Niemann_Pick_Disease,0.13877539903034264,91
Inflammatory_Bowel_Disease,Irritable_Bowel_Syndrome,0.1387909059988459,93
Fanconi_Anemia,Type2_Diabetes,0.1388311141241748,77
Flu,Gaucher_Disease,0.13894562590946108,86
Fanconi_Anemia,Pneumonia,0.1390131016426178,66
Crohn_Disease,Hypertension,0.13909302179511338,73
Pneumonia,Tuberculosis,0.13917064755617758,96
Chronic_Kidney_Disease,Systemic_Lupus_Erythematosus,0.13918480862892696,112
Chronic_Kidney_Disease,Epilepsy,0.140127080494188,115
Dengue,Type2_Diabetes,0.14017308682824414,83
Systemic_Lupus_Erythematosus,Type2_Diabetes,0.14036891015585293,84
COPD,Generalized_Anxiety_Disorder,0.14066378282499017,89
Flu,Stroke,0.14073951700108137,90
Niemann_Pick_Disease,Osteoarthritis,0.14122069057939537,84
Fanconi_Anemia,Spinal_Muscular_Atrophy,0.14131169709263017,74
Dengue,Inflammatory_Bowel_Disease,0.14150487781319424,90
Dengue,Generalized_Anxiety_Disorder,0.1423045443222661,89
Peptic_Ulcer_Disease,Stroke,0.14238027969217312,78
